# 대화 데이터 파일
# 형식: ID|타입|화자|메시지|다음ID|조건
# 타입: 0=일반 (흰색), 1=전투(빨간색), 2=시스템(노란색), 3=튜토리얼(청록색), 4=스토리 대화(초록색)

# 게임 시작 대화
1|2|시스템|포켓요괴 세계에 오신 것을 환영합니다!|2|0
2|2|시스템|현재 조선팔도는 요괴들이 날뛰어 혼란스럽습니다.|3|0
3|2|시스템|당신은 제주도에서 테어난 퇴마사 입니다.|4|0
4|2|시스템|당신은 당신의 오랜 친구인 도깨비와 함께 조선 팔도를 돌며 모든 지역의 요괴를 퇴마해야 합니다.|5|0
5|2|시스템|부적을 통해 요괴를 동료로 만들거나 전투를 통해 요괴를 쓰러트려 성불시킬수 있습니다.|6|0
6|2|시스템|전투에서 승리하면 요괴의 경험치가 올라가고, 새로운 기술을 배울 수도 있습니다.|7|0
7|2|시스템|자! 이제 배를 타고 육지로 이동 해야 합니다.|-1|0

#육지 도착 대화
8|2|시스템|배를 타고 육지에 도착했다|-1|0

# 전투 시작 대화
10|1|시스템|요괴와 눈이 마주쳤다|-1|0

# 전투 승리 대화
20|1|시스템|전투에서 승리했습니다!|21|0
21|2|시스템|마을 주민들이 답례로 수고비와 선물을 줍니다|22|0
22|2|시스템|보상을 한가지 선택하세요!|-1|0


# 전투 패배 대화
30|1|시스템|전투에서 패배했습니다...|31|0
31|4|퇴마사|이런 내가 지다니|32|0
32|2|시스템|퇴마사는 시간을 돌리는 부적을 사용한다|33|0
33|2|시스템|퇴마사는 부적의 부작용으로 기억을 잃는다|34|0
34|2|시스템|퇴마사의 눈 앞이 깜깜해졌다|-1|0

35|4|퇴마사|굉장히 긴 꿈을 꾼듯한 기분이 드는데 뭐였는지 생각이 안 나|-1|0


# 아이템 사용 대화
40|0|시스템|아이템을 사용했습니다.|41|0


# 보스 전투 대화

# 보스 승리 대화
70|1|시스템|보스를 물리쳤습니다!|71|0
71|1|시스템|새로운 지역이 열렸습니다!|72|0



# 게임 클리어 대화
3000|2|시스템|축하합니다!|3001|0
91|2|시스템|모든 지역을 클리어하셨습니다!|92|0
92|2|시스템|두억시니를 봉인하는데 성공하였습니다!|-1|0





90|2|시스템|축하합니다!|91|0
91|2|시스템|모든 지역을 클리어하셨습니다!|92|0
92|2|시스템|두억시니를 봉인하는데 성공하였습니다!|-1|0



# 지역별 대화
200|2|시스템|경기도에 도착했습니다.|201|0
201|2|시스템|이곳은 조선의 중심지입니다.|202|0

210|2|시스템|강원도에 도착했습니다.|211|0
211|2|시스템|산과 바다가 만나는 아름다운 곳입니다.|212|0

220|2|시스템|충청도에 도착했습니다.|221|0
221|2|시스템|평야가 넓게 펼쳐진 곳입니다.|222|0

230|2|시스템|전라도에 도착했습니다.|231|0
231|2|시스템|해안선이 길고 섬이 많은 곳입니다.|232|0

240|2|시스템|경상도에 도착했습니다.|242|0

250|2|시스템|함경도에 도착했습니다.|251|0
251|2|시스템|가장 북쪽에 위치한 지역입니다.|252|0

# 특별한 상황 대화
300|1|시스템|요괴가 기절했습니다!|301|0
301|2|시스템|다른 요괴로 교체하거나 회복 아이템을 사용하세요.|-1|0

310|0|시스템|요괴가 새로운 기술을 배웠습니다!|311|0
311|0|시스템|기술 메뉴에서 확인할 수 있습니다.|-1|0

320|0|시스템|부적이 효과를 발휘했습니다!|321|0
321|0|시스템|요괴가 순해졌습니다!|-1|0

330|0|시스템|도망에 성공했습니다!|331|0
331|0|시스템|안전한 곳으로 도망쳤습니다.|-1|0

340|0|시스템|도망에 실패했습니다...|341|0
341|0|시스템|전투를 계속해야 합니다.|-1|0

# 아이템 관련 대화
400|0|시스템|회복 아이템을 사용했습니다.|401|0
401|0|시스템|요괴의 체력이 회복되었습니다.|-1|0

420|0|시스템|부적을 던졌습니다.|421|0

# 보상 관련 대화
500|0|시스템|전을 획득했습니다!|501|0
501|0|시스템|아이템 상점에서 유용한 아이템을 구매할 수 있습니다.|-1|0

510|0|시스템|희귀한 아이템을 획득했습니다!|511|0
511|0|시스템|이 아이템은 매우 강력한 효과를 가지고 있습니다.|-1|0

520|0|시스템|경험치를 획득했습니다!|521|0

# 새로운 NPC 대화 예시

# 퀘스트 대화 예시

1005|0|우물신|역병으로 인해 나 너무 더러워졌다. 날 깨끗하게 만들어 줄수 있겠나|-1|0
1006|0|플레이어|제가 청소해드리겠습니다|-1|0


#편지 배달 알바
1007|3|한 여인|다른 지역에 있는 제 남편에게 혹시 이 편지를 전달해 줄수 있나요?|-1|0

#예
1008|4|퇴마사|제가 전달해 드리겠습니다|-1|0

#아니요
1009|3|한 여인|전달만 해주시면 되는데...|-1|0
